N° Ola,INVENTORY_ID,ADDRESS_ID_TO,Seller,Holding,Cantidad
1,JZPV34031,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,3
1,GFKL01956,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,YULB51998,NA-1-003-000-00-00,HANLESANITARIOSMX,HANLE SANITARIOS,2
1,LVUV21146,NA-1-003-000-00-00,SOLMX2,SOL,1
1,FLWL11996,NA-1-003-000-00-00,MERCADOLIBRE ELECTRONICA_MX,Mercado Libre,2
1,ALJY87894,RI-0-001-000-00-00,SELECTSHOP MX,COMERCIALIZADORA DE MARCAS JSB,3
1,MCQR51381,RI-0-001-000-00-00,PIECO FULL,Plataformas Internacionales Ec,1
1,JVIJ26463,NA-1-003-000-00-00,TOPWORLDSHOPMX1,TopWorldShop,1
1,MOZK60021,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,YWWR73763,NA-1-003-000-00-00,SH-ML08MX1,SH-ML08,1
1,TDFV58450,NA-1-003-000-00-00,HONORONLINEMX,Honor Online,5
1,UFOP39116,NA-1-003-000-00-00,YLBMX1,YLB,3
1,ZLXB39527,NA-1-003-000-00-00,ENJOYTECHNOLOGYLIFEMX,Jiang Yongbo,13
1,KVNV57561,NA-1-003-000-00-00,UNUASTSHOPMX1,Unuast Shop,1
1,MVVS84174,NA-1-003-000-00-00,MXSUPCASEANDIBLASONOFFICIA,Supcase and i-Blason official,4
1,BOCS21228,NA-1-003-000-00-00,PL MLM,Temakla MLM,3
1,PYZD63121,NA-1-003-000-00-00,WENGXINMX1,wengxin,1
1,URBA33664,NA-1-003-000-00-00,IGSMMX,IGSM,2
1,RVXU79360,NA-1-003-000-00-00,ANYTOPMX,ANYTOP,1
1,DUNM27630,NA-1-003-000-00-00,JO-MARUKOMX,Jo-maruko,1
1,AUGJ75254,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,IEOW82923,NA-1-003-000-00-00,ONEBYONEMX,ONE BY ONE,4
1,JWYV60740,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,ZGRU39159,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,WCJF85380,NA-1-003-000-00-00,MELLOWDYMX1,Mellowdy,1
1,VIKN58394,NA-1-003-000-00-00,KYLIESHOPMX,KYLIESHOP,3
1,YNOM11528,NA-1-003-000-00-00,JIEYEMX,Jieye,3
1,FZZJ95872,NA-1-003-000-00-00,MERCADOLIBRE MODA_MX,Mercado Libre,1
1,EHEX83872,NA-1-003-000-00-00,ATHOUSANDMX,ATHOUSAND,1
1,BOHH23290,NA-1-003-000-00-00,YINUOTIENDAOFICIALMX,Yinuo Tienda oficial,1
1,QRGB51265,NA-1-003-000-00-00,VILLSUREMX1,Villsure,36
