N° Ola,SKU,Cantidad Solicitada,COSTO UNITARIO,SUM de gmv total,Descripción
1,ABCB65043,1,17.12,17.12,Pomada Para Hemorroida Hemofiss 30g( Igual Proctan )
1,ABCB68519,1,35.23,35.23,Camisa Masculina Manga Curta Com Elastano Melhor Tecido
1,ABCB96621,1,3.22,3.22,Porta Hojas De Plastico Tamaño Carta Con Iman
1,ABZA52873,1,17.61,17.61,Iso Blend 900 G - Integral Médica
1,ACBY03218,1,32.84,32.84,Almohada Triangular Inflable Para Posiciones Sexuales
1,ACBY03633,1,10.07,10.07,Tenis adidas Bebé Grand Court I
1,ACBY14612,1,26.57,26.57,Mini Portátil Humidificador Con Luz Led Capacidad 300 Ml Usb
1,ACBY18177,1,22.75,22.75,Cámara Para Coche Xiaomi Dashcam 70mai 1s Hd 1080p Dvr
1,ACBY25057,2,35.46,70.92,Etiqueta Truffa
1,ACBY28876,1,15.39,15.39,"Frasco Hermético Vidrio Contenedor Con Tapa Clip 1,5 Lts"
1,ACBY39365,2,25.31,50.62,Doce De Leite Coco Diet 650g Doces São Lourenço
1,ACBY46886,2,10.07,20.14,Reloj Inteligente Deportivo Bluetooth Con Llamada
1,ACBY60937,1,31.2,31.2,Pantalón American Eagle Hombre Black Clean Slim
1,ACBY63892,1,14.67,14.67,Jogo De Frigideiras 2pç Turim Alumío Antiaderente Tramontina
1,ACBY66930,2,22.55,45.1,Papel Higiênico Interfolhado Cai Cai Folha Simples 10000 Un
1,ACHE93160,1,30.67,30.67,Cerveja Heineken Premium Quality Garrafa 250ml
1,ADFD00413,1,13.42,13.42,Vinho Chileno Santa Rita 3 Medallas Chardonnay 750ml
1,ADFD18668,5,23.61,118.05,"Pênis Grande E Grosso Macio E Flexível 28x5,5 Chocolate 4135"
1,ADFD19158,4,17.91,71.64,Pantalla Completa Display Lcd Para iPhone 7 Plus Negro
1,ADFD20229,1,8.29,8.29,Gelatina En Polvo D-gari Leche Condensada 120grs.
1,ADFD29130,2,33.27,66.54,Sandália Feminina Fivela Tamanho 34 Preta Beira Rio
1,ADFD31276,2,8.54,17.08,Tigela Mixing Bowl Em Aço Inox 28 Cm Ke Home 3116-28-1
1,ADFD34286,2,33.25,66.5,Geleia Francesa St. Dalfour 100% Frutas Mini Trio 84g
1,ADFD45522,2,6.08,12.16,Boneca Show Da Luna Luna 40 Cm Com Som Original Estrela
1,ADFD52650,2,19.61,39.22,Conector Mc4 P/ Painel Cabo Solar 4 A 6mm 30a - 1 Par
1,ADFD67076,6,34.77,208.62,Chocottone Bauducco Trufa 500g
1,ADFD76765,1,9.03,9.03,Funda Elástica Para Silla De Comedor 6 Unidades
1,ADFD81434,1,25.19,25.19,4 Fundas De Silla De Comedor Elástico Lavable Y Grueso
1,ADFD81512,1,13.18,13.18,Calça Jeans Feminina Push Up Com Rasgos Sawary
1,ADFD91562,1,13.52,13.52,Blusa Mangas Bufantes Colcci Off Shell 360115221 026 00001 G
1,ADJX14631,1,14.38,14.38,Biscoito Recheado Trakinas Super Carinhas 126gr Chocolate
1,ADJX14665,3,22.64,67.92,Zapatillas Jonzed Mfiber Negras Caterpillar
1,ADJX30528,1,14.91,14.91,"Juego De Bolsas De Hombro Y De Mano, 3 Piezas"
1,ADJX30537,1,6.53,6.53,Reloj Acrílico De Pared Digital 3d Luminoso
1,ADJX43321,1,15.07,15.07,Arena Para Gato Trainers Choice Aglutina 3 Kg
1,ADJX44741,1,23.66,23.66,Triple De Fotografía Y Video Para Cámara Canon Nikon
1,ADJX49868,1,20.67,20.67,Touca Simples Para Confecção De Peruca Lace Wig Com Ajuste Na Nuca - Atacado 5 Unidades / Pode Ser Cores Sortidas
1,ADJX63477,2,22.17,44.34,Espumante Cava Freixenet Carta Nevada 750 Ml
1,ADJX65439,5,11.14,55.7,Máscara De Halloween Cosplay Hot Game Undertale Sans
1,ADJX72472,2,25.82,51.64,Relógio Inteligente Smartwatch B57 Bluetooth Android Ios
1,ADJX75220,2,22.65,45.3,Armação Oculos Grau Avano Av 555-c Feminino Retrô Moderna
1,ADJX75600,1,34.61,34.61,Tenis Converse Mujer Blanco 570814c
1,ADJX75967,2,10.03,20.06,Capsula De Cafe Tres Rituais Orgânico 10un
1,ADJX81861,12,33.16,397.92,Forever Liss Banho Verniz 250g + Anabolizante + Uti 240g
1,ADJX85305,1,14.57,14.57,Jogo De Cama Casal 4 Peças Ternura Plus Capri 150 Fios Teka
1,ADJX88845,1,24.54,24.54,Swich Encendido Con Llave Universal Moto Atv Para Italika
1,ADJX92344,1,24.25,24.25,Energético Natural Green Up Camu Camu Acerola/curcuma 269ml
1,ADRN17160,3,33.24,99.72,"Xana Loka Gel Excitante + Kuloko + Vendido, Ela Louca D Tzão"
1,ADRN23623,1,13.88,13.88,Control Joystick Inalámbrico Para Pc Y Nintendo Switch
1,ADRN24062,4,22.44,89.76,Kit 10 Cuecas Boxer Sortido Lupo
1,ADRN26221,5,26.78,133.9,Tenaza Rizadora Cabello Para Ondas 3 Barriles 25mm
1,ADRN27317,3,24.98,74.94,Sandália Recortes Knit Comfortflex 2057405
1,ADRN30833,7,38.44,269.08,Transformador Microondas 220v Alta Tensão Novo
1,ADRN69773,1,29.87,29.87,"Guirnalda Navideña Luces Solare Led Decorativas 6.5 M,30 Pcs"
1,ADRN71242,1,25.16,25.16,Meleira Porta Mel De Vidro Euro Home
1,ADRN74221,1,23.06,23.06,Soprador Térmico 1500w(110v) Ou 2000w 220v Gamma
1,ADRN79413,1,21.36,21.36,Par Lente Farol Milha Gol G2 Bola 95 A 99 Parati Saveiro
1,ADRN85295,2,2.44,4.88,Playera De Hombre C&a Básica Manga Corta
1,AGDL15303,1,14.09,14.09,"Lámpara De Uñas Uv Led,48w Más Rápido Secador De Uñas De Gel"
1,AGEZ11592,1,25.44,25.44,Monster Energy Bebida Hidratante Drink Lata 473 Ml
1,AGEZ11688,1,23.04,23.04,Juego Sabanas Individuales Blancas Lisas C/bordado 200 Hilos
1,AGEZ21024,1,15.6,15.6,Suporte Para 4 Pilhas Aa Canoa Com Rabicho
1,AGEZ22777,1,31.81,31.81,Fone De Ouvido Sem Fio Jbl Tune 125tws Bluetooth In-ear Nfe
1,AGEZ33297,2,15.33,30.66,Reloj Digital Skmei 1251 Deportivo Digital Verde Y Regalo
1,AGEZ37470,2,11.84,23.68,2 X Mica Cristal Templado Samsung Tab E 9.6 T560 Detuosi
1,AGEZ38364,1,19.76,19.76,Par Reator Universal Para Lâmpada Xenon 12v 35w
1,AGEZ42614,3,8.19,24.57,Tenis Blanco K-swiss Ontare Vlc Niño
1,AGEZ49282,1,20.4,20.4,Zapatilla John Foos Verde
1,AGEZ50000,1,23.13,23.13,Zapato De Futbol adidas Hombre X Ghosted.3 Pasto Sintético
